product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
Y2K V1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
Ze0.0 Exchange,0,1.9824165333333334e+06,3.4931741666666665e+06,-1,-0.5915853045388358,-0.2116362203912687,0,0.00014941896425779943,0.00031407123246775785,0.0,0.0,0
Grizzly Trade V2,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
Equation V1,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
Morphex V1 Perps,0,1316.1666666666667,638510.9555555555,0.0,-0.9965371914495946,-0.549086529100432,0,9.920229014297989e-08,5.740850962116807e-05,0.0,0.0,0
Metavault.Trade,0,0,107.96666666666667,0.0,0.0,-0.9997668928384283,0,0,9.707281242662226e-09,0.0,0.0,0
SynFutures V2 (Deprecated),0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
Lexer Markets,0,0,170.42222222222222,0.0,0.0,3.8339111251181848,0,0,1.5322659226093778e-08,0.0,0.0,0
UniDex Perp,0,0,67459.8111111111,0.0,0.0,-0.913572707359249,0,0,6.065310518978935e-06,0.0,0.0,0
SpaceDex,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
EMDX,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
SwapBased AMM,0,0,0,0.0,0.0,-1,0,0,0,0.0,0.0,0
