token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
rsETH-weETH,601372.4708949077,11,385866.3551142538,0.5584993688212159,9.38531962162495e+06,62,2.493370402408482e+07,-0.6235890338411348,6.06624808974913e+07,155,4.751846419031222e+07,0.27660861795821257
DSync-WETH,1.8516557261455602e+06,713,951368.6387107719,0.9463072996128968,9.38083188331682e+06,3003,1.8281394708034422e+07,-0.4868645399798696,7.330929787096508e+07,13807,9.30253383647467e+07,-0.2119426904579076
LLD-WETH,611262.3962406373,177,8.444782639939934e+06,-0.927616562521142,9.22823059352191e+06,884,62745.75045645618,146.0733958298267,9.724670204887077e+06,920,215041.15835835066,44.22236709998377
STG-_C,1.4165355972252917e+06,93,1.2010859492131413e+06,0.17937904290138126,9.029509397543378e+06,268,1.1115007783139156e+07,-0.18762905310416086,5.094456003871765e+07,703,1.254935563774836e+08,-0.5940464075663229
INST-WETH,981516.9188155229,112,401866.97753324127,1.4423925669143458,9.01368257957781e+06,456,8.334962858912923e+06,0.08143044332094444,2.6645411742512107e+07,1412,3.494266069792768e+07,-0.2374532674298513
GYD-USR,568578.4175146536,23,1.2086685390064444e+06,-0.5295828432979324,8.980486294314008e+06,137,1.259192264386626e+07,-0.2868057922283571,6.765609147004117e+07,530,4.594737660001344e+07,0.47246908259875225
BAD-WETH,1.077336095085871e+06,701,1.3907888477692832e+06,-0.2253776719493876,8.75076609921426e+06,3631,3.82904176382879e+06,1.2853671072169421,1.398490886403625e+07,5176,8.629983138193922e+06,0.6205024552299421
ELON-WETH,1.7791959925123036e+06,363,3.690473352750088e+06,-0.5178949087421341,8.602231932810843e+06,1838,2.2648953361400723e+07,-0.6201929601095334,1.573389867834767e+08,12094,2.3847307125505064e+07,5.597767452543949
DOGEFATHER-WETH,1.600101845749426e+06,624,2.6007162744757314e+06,-0.38474570969031047,8.550615997815821e+06,2429,455605.51309437124,17.767586765449657,1.0886864414880782e+07,3040,9.559517683831751e+06,0.13885080554785786
BEAM-WETH,1.1616980579009366e+06,274,1.2286171818842357e+06,-0.05446702599476137,8.539381441686342e+06,1152,1.1387191132883847e+07,-0.25008886370350114,4.735220148616456e+07,4024,9.228943932479662e+07,-0.48691635974169556
